                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0803,                 1.6692,                 1.0633,                0.97812,                0.74632,                0.80553,                0.32999,                 2.1819,                 1.5643,                 1.8663,             0.00066484,             0.00066484,             0.00066484
                      2,                0.70069,                0.46269,                0.86886,                0.08801,                 0.8256,                0.15424,                0.04318,                 2.6388,                 2.8239,                 2.5132,              0.0011997,              0.0011997,              0.0011997
                      3,                0.60393,                0.37567,                0.84183,                0.17373,                0.20037,                0.09456,                0.07195,                 1.4886,                 3.6251,                 1.8407,              0.0016025,              0.0016025,              0.0016025
                      4,                0.50948,                0.32077,                0.81871,                0.59419,                0.98701,                0.70655,                0.62853,                0.54639,                0.82342,                 0.7747,               0.001406,               0.001406,               0.001406
                      5,                0.41868,                0.27106,                0.79903,                0.92252,                0.70686,                0.84144,                0.61707,                 1.1806,                 2.4237,                 1.0761,               0.001208,               0.001208,               0.001208
                      6,                0.35402,                0.23777,                0.78805,                  0.927,                0.89523,                0.95033,                0.87128,                0.55278,                0.41026,                 0.8875,                0.00101,                0.00101,                0.00101
                      7,                0.30598,                0.21159,                0.78003,                0.99989,                      1,                  0.995,                0.96449,                0.29966,                0.19955,                0.71504,               0.000812,               0.000812,               0.000812
                      8,                0.26458,                0.18731,                0.77397,                0.99989,                      1,                  0.995,                0.97196,                0.24599,                0.17673,                0.71153,               0.000614,               0.000614,               0.000614
                      9,                0.22905,                0.16626,                0.77225,                0.99988,                      1,                  0.995,                0.98119,                0.20318,                0.13976,                0.70651,               0.000416,               0.000416,               0.000416
                     10,                0.19487,                0.14701,                0.76815,                0.99989,                      1,                  0.995,                0.98847,                0.15289,                0.11684,                0.70168,               0.000218,               0.000218,               0.000218
